iata_code,name,latitude,longitude,elevation_ft,continent,country_code,region_code,city,airport_type,is_hub,region
SFG,Grand Case-l'Espérance Airport,18.100057,-63.047444,7.0,,MF,MF-U-A,Grand Case,medium_airport,False,MF
SFJ,Kangerlussuaq Airport,67.010446,-50.715294,165.0,,GL,GL-QA,Kangerlussuaq,medium_airport,False,GL
SFN,Sauce Viejo Airport,-31.7117,-60.8117,55.0,SA,AR,AR-S,Santa Fe,medium_airport,False,AR
SFS,Subic Bay International Airport / Naval Air Station Cubi Point,14.7944,120.271004,64.0,AS,PH,PH-ZMB,Olongapo,medium_airport,False,PH
SFT,Skellefteå Airport,64.62480163574219,21.076900482177734,157.0,EU,SE,SE-AC,Skellefteå,medium_airport,False,SE
SGC,Surgut Airport,61.34370040893555,73.40180206298828,200.0,AS,RU,RU-KHM,Surgut,medium_airport,False,RU
SGD,Sønderborg Airport,54.96440124511719,9.791729927062988,24.0,EU,DK,DK-83,Sønderborg,medium_airport,False,DK
SGF,Springfield Branson National Airport,37.245701,-93.388603,1268.0,,US,US-MO,Springfield,medium_airport,False,US
SGU,St George Regional Airport,37.036389,-113.510306,2941.0,,US,US-UT,St George,medium_airport,False,US
SHA,Shanghai Hongqiao International Airport,31.198104,121.33426,10.0,AS,CN,CN-31,Shanghai (Minhang),large_airport,False,CN
SHB,Nakashibetsu Airport,43.5774993896,144.960006714,234.0,AS,JP,JP-01,Nakashibetsu,medium_airport,False,JP
SHD,Shenandoah Valley Regional Airport,38.263802,-78.8964,1201.0,,US,US-VA,Weyers Cave,medium_airport,False,US
SHE,Shenyang Taoxian International Airport,41.639801,123.483002,198.0,AS,CN,CN-21,"Hunnan, Shenyang",large_airport,False,CN
SHI,Shimojishima Airport,24.8267,125.144997,54.0,AS,JP,JP-47,Miyakojima,medium_airport,False,JP
SHJ,Sharjah International Airport,25.3286,55.5172,111.0,AS,AE,AE-SH,Sharjah,large_airport,False,AE
SHL,Shillong Airport,25.70359992980957,91.97869873046876,2910.0,AS,IN,IN-ML,Shillong,medium_airport,False,IN
SHM,Nanki Shirahama Airport,33.6622009277,135.363998413,298.0,AS,JP,JP-30,Shirahama,medium_airport,False,JP
SHO,King Mswati III International Airport,-26.358611,31.716944,1092.0,AF,SZ,SZ-LU,Mpaka,large_airport,False,SZ
SHR,Sheridan County Airport,44.76919937133789,-106.9800033569336,4021.0,,US,US-WY,Sheridan,medium_airport,False,US
SHS,Jingzhou Shashi Airport,30.29281,112.44854,95.0,AS,CN,CN-42,Jingzhou (Shashi),medium_airport,False,CN
SHV,Shreveport Regional Airport,32.446602,-93.8256,258.0,,US,US-LA,Shreveport,medium_airport,False,US
SHW,Sharurah Domestic Airport,17.4669,47.121399,2363.0,AS,SA,SA-10,Sharurah,medium_airport,False,SA
SID,Amílcar Cabral International Airport,16.7414,-22.9494,177.0,AF,CV,CV-B,Espargos,large_airport,False,CV
SIG,Fernando Luis Ribas Dominicci Airport,18.45680046081543,-66.09809875488281,10.0,,PR,PR-U-A,San Juan,medium_airport,False,PR
