country,origin_airport,origin_name,origin_city,origin_type,origin_is_hub,destination_airport,destination_name,destination_city,destination_type,destination_is_hub,distance_km
US,SFO,San Francisco International Airport,San Francisco,large_airport,True,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1217.33
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,ABQ,Albuquerque International Sunport,Albuquerque,large_airport,False,485.27
US,ABQ,Albuquerque International Sunport,Albuquerque,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,485.27
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,ANC,Ted Stevens Anchorage International Airport,Anchorage,large_airport,False,3733.89
US,ANC,Ted Stevens Anchorage International Airport,Anchorage,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,3733.89
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,AUS,Austin Bergstrom International Airport,Austin,large_airport,False,1402.8
US,AUS,Austin Bergstrom International Airport,Austin,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1402.8
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,BDL,Bradley International Airport,Hartford,large_airport,False,3022.97
US,BDL,Bradley International Airport,Hartford,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,3022.97
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,BNA,Nashville International Airport,Nashville,large_airport,False,1948.21
US,BNA,Nashville International Airport,Nashville,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1948.21
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,BOS,Logan International Airport,Boston,large_airport,False,3155.58
US,BOS,Logan International Airport,Boston,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,3155.58
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,BUF,Buffalo Niagara International Airport,Buffalo,large_airport,False,2521.39
US,BUF,Buffalo Niagara International Airport,Buffalo,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2521.39
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,large_airport,False,2733.03
US,BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2733.03
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,CLE,Cleveland Hopkins International Airport,Cleveland,large_airport,False,2268.74
US,CLE,Cleveland Hopkins International Airport,Cleveland,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2268.74
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,CLT,Charlotte Douglas International Airport,Charlotte,large_airport,False,2472.82
US,CLT,Charlotte Douglas International Airport,Charlotte,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2472.82
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,CMH,John Glenn Columbus International Airport,Columbus,large_airport,False,2192.3
US,CMH,John Glenn Columbus International Airport,Columbus,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2192.3
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,CVG,Cincinnati Northern Kentucky International Airport,Cincinnati / Covington,large_airport,False,2053.48
US,CVG,Cincinnati Northern Kentucky International Airport,Cincinnati / Covington,large_airport,False,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2053.48
